TIME,OCCUPANCY,RATE
01/06/2018 17:25,92,0.225490196
01/06/2018 17:30,89,0.218137255
01/06/2018 17:35,86,0.210784314
01/06/2018 17:40,86,0.210784314
01/06/2018 17:45,85,0.208333333
01/06/2018 17:50,81,0.198529412
01/06/2018 17:55,77,0.18872549
01/06/2018 18:00,78,0.191176471
01/06/2018 18:05,82,0.200980392
01/06/2018 18:10,84,0.205882353
01/06/2018 18:15,85,0.208333333
01/06/2018 18:20,89,0.218137255
01/06/2018 18:25,89,0.218137255
01/06/2018 18:30,90,0.220588235
01/06/2018 18:35,82,0.200980392
01/06/2018 18:40,82,0.200980392
01/06/2018 18:45,80,0.196078431
01/06/2018 18:50,81,0.198529412
01/06/2018 18:55,81,0.198529412
01/06/2018 19:00,82,0.200980392
01/06/2018 19:05,80,0.196078431
01/06/2018 19:10,80,0.196078431
01/06/2018 19:15,84,0.205882353
01/06/2018 19:20,84,0.205882353
01/06/2018 19:25,83,0.203431373
01/06/2018 19:30,81,0.198529412
01/06/2018 19:35,82,0.200980392
01/06/2018 19:40,79,0.193627451
01/06/2018 19:45,79,0.193627451
01/06/2018 19:50,79,0.193627451
01/06/2018 19:55,79,0.193627451
01/06/2018 20:00,80,0.196078431
01/06/2018 20:05,82,0.200980392
01/06/2018 20:10,85,0.208333333
01/06/2018 20:15,86,0.210784314
01/06/2018 20:20,84,0.205882353
01/06/2018 20:25,83,0.203431373
01/06/2018 20:30,81,0.198529412
01/06/2018 20:35,82,0.200980392
01/06/2018 20:40,82,0.200980392
01/06/2018 20:45,77,0.18872549
01/06/2018 20:50,75,0.183823529
01/06/2018 20:55,75,0.183823529
01/06/2018 21:00,74,0.181372549
01/06/2018 21:05,70,0.171568627
01/06/2018 21:10,70,0.171568627
01/06/2018 21:15,71,0.174019608
01/06/2018 21:20,69,0.169117647
01/06/2018 21:25,69,0.169117647
01/06/2018 21:30,67,0.164215686
01/06/2018 21:35,65,0.159313725
01/06/2018 21:40,65,0.159313725
01/06/2018 21:45,66,0.161764706
01/06/2018 21:50,64,0.156862745
01/06/2018 21:55,66,0.161764706
01/06/2018 22:00,66,0.161764706
01/06/2018 22:05,67,0.164215686
01/06/2018 22:10,67,0.164215686
01/06/2018 22:15,67,0.164215686
01/06/2018 22:20,65,0.159313725
01/06/2018 22:25,65,0.159313725
01/06/2018 22:30,64,0.156862745
01/06/2018 22:35,63,0.154411765
01/06/2018 22:40,66,0.161764706
01/06/2018 22:45,66,0.161764706
01/06/2018 22:50,67,0.164215686
01/06/2018 22:55,67,0.164215686
01/06/2018 23:00,66,0.161764706
01/06/2018 23:05,67,0.164215686
01/06/2018 23:10,66,0.161764706
01/06/2018 23:15,65,0.159313725
01/06/2018 23:20,63,0.154411765
01/06/2018 23:25,62,0.151960784
01/06/2018 23:30,60,0.147058824
01/06/2018 23:35,59,0.144607843
01/06/2018 23:40,59,0.144607843
